HE Category,HE Title,HE Description,HE Price,EN Category,EN Title,EN Description
שניצל בטעמים בבגט,שניצל ג'ורדי קלאסי,, 30,Schnitzel in flavors of baguette,Classic Jordi Schnitzel,
שניצל בטעמים בבגט,שניצל פסטו,, 30,Schnitzel in flavors of baguette,Pesto schnitzel,
שניצל בטעמים בבגט,שניצל חוויג',, 30,Schnitzel in flavors of baguette,Shnitzel Hwige,
שניצל בטעמים בבגט,שניצל לימון,, 30,Schnitzel in flavors of baguette,Lemon schnitzel,
שניצל בטעמים בבגט,שניצל ביסלי,, 30,Schnitzel in flavors of baguette,Schnitzel Beesley,
שניצל בטעמים בבגט,שניצל צ'ילי חריף,, 30,Schnitzel in flavors of baguette,Hot chili schnitzel,
שניצל בטעמים בבגט,קציצות הבית,, 30,Schnitzel in flavors of baguette,House patties,
שניצל בטעמים בבגט,חזה עוף במרינדה,, 30,Schnitzel in flavors of baguette,Marinated chicken breast,
שניצל בטעמים בצלחת,שניצל ג'ורדי קלאסי,, 40,Schnitzel in flavors on a plate,Classic Jordi Schnitzel,
שניצל בטעמים בצלחת,שניצל פסטו,, 40,Schnitzel in flavors on a plate,Pesto schnitzel,
שניצל בטעמים בצלחת,שניצל חוויג',, 40,Schnitzel in flavors on a plate,Shnitzel Hwige,
שניצל בטעמים בצלחת,שניצל לימון,, 40,Schnitzel in flavors on a plate,Lemon schnitzel,
שניצל בטעמים בצלחת,שניצל ביסלי,, 40,Schnitzel in flavors on a plate,Schnitzel Beesley,
שניצל בטעמים בצלחת,שניצל צ'ילי חריף,, 40,Schnitzel in flavors on a plate,Hot chili schnitzel,
שניצל בטעמים בצלחת,קציצות הבית,, 40,Schnitzel in flavors on a plate,House patties,
תוספות,צ'יפס קלאסי קטן,, 7,Additives,Classic small fries,
תוספות,צ'יפס קלאסי גדול,, 12,Additives,Classic classic chips,
תוספות,פוטטוס על גחלים,, 18,Additives,Potassium on coals,
תוספות,טבעות בצל,, 15,Additives,Onion rings,
סלטים,סלט נתחי עוף במרינדה,"חסה, עגבניות שרי, מלפפון ירוק, פטרוזיליה, שבבי גזר, בצל סגול, נתחי עוף במרינדה", 30,Salads,Salad of marinated chicken pieces,"Lettuce, cherry tomatoes, green cucumbers, parsley, carrot chips, red onion, marinated chicken pieces"
סלטים,סלט שניצל צ'ילי (נגיעות חריף),"חסה, עגבניות שרי, מלפפון ירוק, שבבי גזר, פטרוזיליה, בצל סגול, נתחי שניצל צ'ילי חריף", 30,Salads,Chili Schnitzel Salad (hot touches),"Lettuce, cherry tomatoes, green cucumber, carrot chips, parsley, red onion, chili chili schnitzel chunks"
סלטים,סלט שניצל ג'ורדי,"חסה, עגבניה, מללפון ירוק, פטרוזיליה, שבבי גזר, בצל סגול, נתחי שניצל ג'ורדי", 30,Salads,Jordi Schnitzel Salad,"Lettuce, tomato, green cucumber, parsley, carrot chips, red onion, chardi chard slices"
סלטים,סלט שניצל פסטו,"פטרוזיליה, שבבי גזר, בצל סגול, נתחי שניצל בתוספת עשבי תיבול", 30,Salads,Pesto schnitzel salad,"Parsley, carrot chips, red onion, chunks of schnitzel and herbs"
סלטים,סלט בריאות,"מלפפון ירוק, עגבניות שרי, פטרוזיליה, שבבי גזר, בצל סגול, תירס, חסה", 20,Salads,health salad,"Green cucumbers, cherry tomatoes, parsley, carrot chips, red onion, corn, lettuce"
