≈City,Address,Restaurant Name,Link,Category
משלוחים רמת גן, איילון,בורגר ראנץ`,https://www.10bis.co.il/Restaurants/Menu/Delivery/6?couponValue=0,המבורגר
תל אביב, מרכז עזריאלי,פהיטאס - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/7?couponValue=0,
תל אביב,81 יהודה מכבי,אלכסנדר - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/9?couponValue=0,"ים תיכוני, הודי"
פתח תקווה,28 חיים עוזר,סיני ספיד,https://www.10bis.co.il/Restaurants/Menu/Delivery/10?couponValue=0,"סיני, אסייתי, יפני/סושי"
רמת גן,104 הרואה,פיצה 1 + 1.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/11?couponValue=0,
תל אביב יפו,72 פנחס רוזן,פיצה דומינו,https://www.10bis.co.il/Restaurants/Menu/Delivery/12?couponValue=0,פיצריות
תל אביב יפו,13 אופנהיימר,למון גראס,https://www.10bis.co.il/Restaurants/Menu/Delivery/14?couponValue=0,"אסייתי, תאילנדי, סיני"
תל אביב,21 בן יהודה,אל גאוצ`יטו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/16?couponValue=0,
רמת גן,26 תובל,לה פסטה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/17?couponValue=0,
יהוד, קניון סביונים,אפרופו - סיני תאילנדי.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/18?couponValue=0,
רמת גן, קניון מרום סנטר,נרגילה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/19?couponValue=0,
רמת גן,13 בצלאל,לול - רמת גן.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/20?couponValue=0,
רמת גן,3 היצירה,טוק טוק,https://www.10bis.co.il/Restaurants/Menu/Delivery/21?couponValue=0,"אסייתי, תאילנדי, סיני"
ראש העין, המלאכה,פיין פוד - קפה מסעדה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/23?couponValue=0,
רמת החייל תל אביב,14 ראול ולנברג,דרבי-בר רמת החייל. לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/24?couponValue=0,"ברביקיו, ים תיכוני, בשרים"
תל אביב,16 ירמיהו,חוויאג` - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/25?couponValue=0,
רמת גן,14 החילזון,מתובל - משלוחים.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/27?couponValue=0,
תל אביב,40 איינשטיין,אפרופו - סיני תאילנדי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/28?couponValue=0,
תל אביב,40 איינשטיין,קיוטו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/29?couponValue=0,
תל אביב,40 איינשטיין,פביוס` פיצה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/30?couponValue=0,
רמת השרון,76 סוקולוב,ילו סאן,https://www.10bis.co.il/Restaurants/Menu/Delivery/31?couponValue=0,
ראשון לציון," קניון הזהב, קומה ב`",למון גראס - ראשון לציון,https://www.10bis.co.il/Restaurants/Menu/Delivery/32?couponValue=0,
תל אביב יפו,3 מרכז עזריאלי,למון גראס,https://www.10bis.co.il/Restaurants/Menu/Delivery/33?couponValue=0,"אסייתי, תאילנדי, סיני"
רמת השרון,76 סוקולוב,למון גראס - הרצליה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/34?couponValue=0,
תל אביב,53 קינג ג`ורג`,סנדוויץ בר סנטר - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/35?couponValue=0,
תל אביב,108 הירקון,פיצה דומינו - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/37?couponValue=0,
הרצליה פיתוח,2001 מרכזים,פסטה פיצה פסטו- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/39?couponValue=0,
הוד השרון,8 החרש,פעמיים פוקצ`ה.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/40?couponValue=0,
תל אביב יפו,54 משה סנה,פקין צהלה,https://www.10bis.co.il/Restaurants/Menu/Delivery/41?couponValue=0,"אסייתי, יפני/סושי, סיני"
תל אביב,16 קינג ג`ורג`,קינג ג`ורג` פיצה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/42?couponValue=0,
פתח תקוה,34 הרצל,קאסה דל פפה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/43?couponValue=0,
פתח תקוה,34 הרצל,התימנייה - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/44?couponValue=0,
יהוד, קניון סביונים,אל גאוצ`יטו.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/45?couponValue=0,
רעננה, קניון רננים,צ`יינה טאון- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/46?couponValue=0,
רחובות, קניון רחובות,צ`יינה טאון- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/47?couponValue=0,
ראשון לציון, קניון שער העיר,צ`יינה טאון- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/48?couponValue=0,
הרצליה, קניון שבעת הכוכבים,צ`יינה טאון- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/49?couponValue=0,
תל אביב יפו,15 אבן גבירול,עולם הסנדוויץ של זואי - לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/50?couponValue=0,
רמת גן,86 הרצל,גריל עוף,https://www.10bis.co.il/Restaurants/Menu/Delivery/51?couponValue=0,"אוכל ביתי, בשרים"
כפר סבא,44 ירושלים,סן-שן לא פעיל.,https://www.10bis.co.il/Restaurants/Menu/Delivery/53?couponValue=0,"אסייתי, יפני/סושי, סיני"
רמת גן,5 היצירה,סיני ספיד - רמת גן.- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/54?couponValue=0,
הרצליה,33 בן גוריון,סנדביץ בר- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/55?couponValue=0,
הרצליה,33 בן גוריון,בר סלטים- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/56?couponValue=0,
הרצליה,33 בן גוריון,חמוץ מתוק- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/57?couponValue=0,
הרצליה,33 בן גוריון,אינדירה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/58?couponValue=0,
הרצליה,33 בן גוריון,אל פסטריה- לא פעיל,https://www.10bis.co.il/Restaurants/Menu/Delivery/59?couponValue=0,
